Page,Meta description
https://wertymsd.github.io/sage50csv/,"Crea consultas personalizadas en SAGE50 con plantillas SQL y simplifica los cuadro de mando y informes, Realiza informes  avanzados de manera eficiente y sencilla."
https://wertymsd.github.io/sage50csv/apertura-de-archivos-excel/,Creación de formato SAGE50 para importación usando EXCEL
https://wertymsd.github.io/sage50csv/conexion-con-sage50/,"Aprende a conectar SAGE50 BI a tu base de datos SQL paso a paso. Configura servidor, usuario y selecciona la base de datos fácilmente."
https://wertymsd.github.io/sage50csv/conversion-plantillas-formato-sage50/,Proceso de conversión a formato compatible desde Excel a importación de SAGE50
https://wertymsd.github.io/sage50csv/creacion-nuevas-plantillas/,Usar Plantillas desde SAGE50 para generar fichero Excel para facilitar el proceso
https://wertymsd.github.io/sage50csv/eliminacion-archivos/,Eliminacion de los CSV ya usando.
https://wertymsd.github.io/sage50csv/link-descarga/,Descarga gratuita del programa para fichero compatible con SAGE50 para su modulo de importación desde EXCEL
https://wertymsd.github.io/sage50csv/parametros-ejecucion-sage50bi/,Define los parámetros de ejecución en SAGE50 BI para automatizar procesos. Personaliza tus informes y consultas fácilmente.
